FAC_TYPE,VERS_DATE,SERIAL_NO,NAME,LATITUDE,LONGITUDE,SITE_CLASS,WILDERNESS,DIS_ACCESS,ACCESS_DSC,FEE,COMMENTS,MAINT_BY,LABEL,ACT_CODE,FAC_CODE,PUBLISHED,CLOS_STAT,CLOS_DESC,CLOS_START,CLOS_OPEN,CLOS_REAS,CAMPING,CAMPING_C,CAMPING_R,CAMPERVANG,CAMPERVANC,CAMPERVANT,CAMPVANR,TB_VISITOR,TBVA_C,TBVA_R,HERITAGE,HERITAGE_C,HERITAGE_R,FISHING,FISHING_C,FISHING_R,FOSSICKING,FOSSICK_C,FOSSICK_R,HANG_GLIDE,HANG_GLD_C,HANG_GLD_R,HORSE_RIDE,HORSERIDEC,HORSERIDER,PADDLING,PADDLING_C,PADDLING_R,PICNICING,PICNIC_C,PICNICINGR,REDUCE_NA,REDUCE_C,REDUCE_R,ROCKCLIMB,ROCKCLMB_C,ROCKCLIMBR,TREE_VIEW,TREEVIEW_C,TREEVIEW_R,WALKINGDOG,WALKDOG_C,WALKDOG_R,WILDLIFE,WILDLIFE_C,WILDLIFE_R,PCT_AFRAME,PCT_PEDEST,PCT_OTHER,BBQ_ELEC,BBQ_PIT,BBQ_GAS,BBQ_WOOD,IS_PART_OF,PHOTO_ID_1,PHOTO_ID_2,PHOTO_ID_3,SDE_DATE,Y_COORD,X_COORD,ALTER_DATE,ENTITY_ID,UFI
REC SITES,2021/09/25,"3401",Koolaroo Track,-37.7214650000,144.1537320000,VERY BASIC,,NONE,"Access by 2WD in dry conditions is possible but not advised as the route gets rougher and pot-holed towards the end.
From Ballan head south along the Geelong-Ballan Road for 11.6km, then turn right down Hamills Lane, across the Bungeeltap South Road ont",,"Located adjacent to the Moorabool River (East Branch), this is a low key site offering picnicking and camping opportunities for those who come self-contained and who seek a tranquil setting away from the crowds.",BALLARAT DEPOT (SEBASTOPOL),Koolaroo Track,W,,Y,,,,,,Y,"About 200 metres back from the picnic area where a track veers off the main track, there are good campsites atop the ridge looking down to farmland and the Moorabool River.","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"After an interesting journey through farmland and forest, the picnic area at the end of Koolaroo Track is in a sheltered and scenic setting for a well-earned picnic amongst the stringybark and peppermint eucalypts.","2",,,"0",,,"0",,,"0",,,"0",,,"0","1",,,,,,"1",,"121319","121320","121321",2021/09/25,-37.7214650000,144.1537320000,,,476954-20201030
REC SITES,2021/09/25,"5409",Youngs Creek,-37.6565940000,148.5150030000,BASIC,,NONE,"Access to this site is via the Bonang Hwy, turning right on to 4 1/2 mile track and following along to Storers track and following signs down to picnic area.",,"Set on the fringes of the Youngs Creek warm temperate rainforest this site provides opportunities for picnicking and short walks, with a viewing platform only a short stroll along the creek at Youngs Creek Falls, or take a return walk to the picnic groun",ORBOST OFFICE,Youngs Creek,,Y,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"Sit back amongst the mahoganies and enjoy a picnic lunch or BBQ, using the wood-fired BBQ facilities and picnic tables provided.","3",,,"0",,,"0",,,"0",,,"0",,,"0","1",,,,,,"1",,"5171",,,2021/09/25,-37.6565940000,148.5150030000,,,516725-20210611
REC SITES,2021/09/25,"4509",Goat Island,-35.7280340000,144.1812070000,BASIC,,NONE,"Goat Island Recreation Site is located 10.5 kms north of the Cohuna Township. From Cohuna head north along the Cohuna-Koondrook Road. Turn right at Spences Bridge Road and enter Gunbower Island. Continue past Spences Bridge Recreation Site, vear left ont",,"A tranquil quiet camp ground on Gunbower Creek for those who enjoy no frills camping. Basic facilities ( BBQs and Picnic tables) provided. Enjoy the sights and sounds of the surrounding river red gum forest. BBQs and picnic tables provided 
",COHUNA,Goat Island,WU,k,Y,,,,,,Y,"Dispersed basic camp sites in beautiful seasonal swamp clearings, suitable for large groups","1",,,,"0",,,"0",,,"0",Y,"Gunbower Island is a popular fishing destination. Note that a  current  NSW  Freshwater  Recreation  Fishing  Licence   is  required  when fishing in the  Murray  River, while a  Victorian   Recreational  Fishing  Licence  is  required  for  fishing  in","3",,,"0",,,"0",,,"0",,,"0",Y,"A pleasant spot for a picnic -
 BBQs and picnic tables are provided at dispersed camp sites","2",,,"0",,,"0",,,"0",,,"0",,,"0","1","1",,,,,"1",,"122279","122280","122281",2021/09/25,-35.7280340000,144.1812070000,,,506671-20210805
REC SITES,2021/09/25,"4519",Black Swamp,-35.7105970000,144.1766340000,BASIC,,NONE,"Black Swamp Recreation Site is located 12 kms north of the Cohuna Township. From Cohuna head north along the Cohuna-Koondrook Road. Turn right at Spences Bridge Road and enter Gunbower Island. Continue past Spences Bridge Recreation Site, vear left onto",,A tranquil quiet camp ground on Gunbower Creek for those who enjoy no frills camping. Basic facilities ( BBQs and Picnic tables) provided. Enjoy the surrounding river red gum forest while taking in the history of the area. BBQs and picnic tables provided,COHUNA,Black Swamp,WU,,Y,,,,,,Y,"Informal bush camps within Black Swamp, suitable for the self-sufficient camper who enjoys roughing it. Suitable for larger groups","1",,,,"0",,,"0",,,"0",Y,"Gunbower Island is a popular fishing destination. Note that a  current  NSW  Freshwater  Recreation  Fishing  Licence   is  required  when fishing in the  Murray  River, while a  Victorian   Recreational  Fishing  Licence  is  required  for  fishing  in","3",,,"0",,,"0",,,"0",,,"0",Y,"Basic dispersed campsites / picnic areas within Black Swamp, picnic tables and bbqs provided.","2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"122255","122256","122257",2021/09/25,-35.7105970000,144.1766340000,,,506672-20200523
REC SITES,2021/09/25,"649",Jimmys Old Tool Display,-37.5424156090,145.4744012350,MID,,PARTIAL,Toolangi can be reached via Kinglake and C724 coming from the Northern suburbs of Melbourne or via Yarra Glen and the Melba Highway turning right at the Castella Picnic area and heading 8km down the Healesville - Kinglake road.  The Discovery Centre is o,,,TOOLANGI MAIN RD,Jimmys Old Tool Display,E,U,Y,,,,,,,,"0",,,,"0",,,"0",Y,Learn about the history of the Toolangi State Forest by reading the display information and whilst your there investigate the old timber tramway cart.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",Y,Drop into Toolangi and enjoy a picnic under the towering Messmates.  Picnic facilities are located behind the CFA building.  Whilst you are here take a stroll around the nearby Sculpture or Yea River Walks.,"1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,"1",,,,,"121802","121803","121804",2021/09/25,-37.5424156090,145.4744012350,,,491200-20190909
REC SITES,2021/09/25,"1142",Twenty Five Mile Creek,-37.4857950000,146.0941720000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Twenty Five Mile Creek,W,,Y,,,,,,Y,"The last of the campsites in the Upper Big River, this consists of a basic site at the top of the ridge line providing a view of the nearby forested mountains.  Access past 25 Mile Camp is four wheel drive only so this camp is ideal for those that would","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121994","121995","121996",2021/09/25,-37.4857950000,146.0941720000,,,491140-20170627
REC SITES,2021/09/25,"1143",Catford,-37.4996030000,146.0904600000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Catford,W,,Y,,,,,,Y,This basic camping area has two tiered cleared spots for camping with access down to the waters edge via some earth steps.   Try your hand at fishing or just relax and take in the serenity of the bush surroundings.,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121754","121755","121756",2021/09/25,-37.4996030000,146.0904600000,,,491141-20170626
REC SITES,2021/09/25,"1146",Big Bend Creek,-37.5139240000,146.0943930000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Big Bend Creek,W,,Y,,,,,,Y,Big Bend Creek Camp is located at the junction of Big River and Big Bend Creek.  This is a basic campsite has no facilities but the soothing sounds of the creek flowing into the river. Pitch a tent or roll out your swag and enjoy the serenity.,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121715","121716","121717",2021/09/25,-37.5139240000,146.0943930000,,,491142-20170822
REC SITES,2021/09/25,"1147",Vennells,-37.5204410000,146.0790880000,BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Vennells,W,Y,Y,,,,,,Y,"Vennells can be accessed via a small bridge over Big River, here the site opens up to larger camping areas.  Recommended for tents or camper trailers, you'll find pit toilet facilities available and access to the nearby river providing opportunities for","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"122000","122001","122002",2021/09/25,-37.5204410000,146.0790880000,,,491143-20170627
REC SITES,2021/09/25,"1157",Peppermint Ridge,-37.5165870000,146.0606440000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Peppermint Ridge,W,,Y,,,,,,Y,A small basic campsite with access via a bush track to the Big River.  Here you can try your luck with fishing or relax and listen to the tumbling waters of Big River.,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121889","121890","121891",2021/09/25,-37.5165870000,146.0606440000,,,491144-20170626
REC SITES,2021/09/25,"1165",Frenchman Creek,-37.5229740000,146.0583130000,BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,"Set in the heart of Upper Big River State forest this large spacious campsite has areas for all campers.  Whether you are camping in tents, swags, campervans or caravans, this area provides separate areas along the Big River for everyone.  Toilet facilit",MARYSVILLE,Frenchman Creek,WC,UY,Y,,,,,,Y,"This spacious campsite includes pit toilet facilities and separate formal camping sites, able to accommodate larger groups along the Big River and Frenchmans Creek.  The camping areas are suitable for tents, caravans or trailers with room to move.","1",Y,Larger camping sites allow for small caravans or camper trailers.,SMALL CARAVAN,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121787","121788","121789",2021/09/25,-37.5229740000,146.0583130000,,,491146-20170626
REC SITES,2021/09/25,"1170",Specimen Creek,-37.5178610000,146.0478240000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.       From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eil,,,MARYSVILLE,Specimen Creek,W,,Y,,,,,,Y,"Located on the side of the mountain, this basic camping area is suitable for tents only.  A small site with access to the river for true bush camping.","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,"1",,,,"121931","121932","121933",2021/09/25,-37.5178610000,146.0478240000,,,491147-20170626
REC SITES,2021/09/25,"1174",Bobuck Ridge,-37.5126250000,146.0377580000,BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Bobuck Ridge,W,Y,Y,,,,,,Y,"Bobuck Ridge camping area consists of a couple of separate tent friendly camping spots along the banks of Big River.  Pit toilet facilities are available but please note that the access road is recommended for four wheel drive only.
","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121727","121728","121729",2021/09/25,-37.5126250000,146.0377580000,,,491148-20170626
REC SITES,2021/09/25,"1175",Gang Gang Gully,-37.5166480000,146.0322790000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.  From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon W,,,MARYSVILLE,Gang Gang Gully,W,,Y,,,,,,Y,"Tucked away, this small basic campsite provides access to the Big River.  A quiet setting located down on the river flats.  
","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121790","121791","121792",2021/09/25,-37.5166480000,146.0322790000,,,491149-20170626
REC SITES,2021/09/25,"1178",Mcclelland,-37.5153010000,146.0227620000,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road. From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon Wa,,,MARYSVILLE,Mcclelland,W,,Y,,,,,,Y,"Located in the gully via an access road recommended for 4 wheel drives, this camp is broken up into three separate areas along the river bank where tents and trailer campers can be set up in spacious sites .   
","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"121847","121848","121849",2021/09/25,-37.5153010000,146.0227620000,,,491150-20170626
